Entrez_ID	Gene_Symbol	Description
10666		CD226 molecule
10667		phenylalanyl-tRNA synthetase 2, mitochondrial
10668		cell growth regulator with ring finger domain 1
10670		Ras related GTP binding A
10671		dynactin subunit 6
10672		G protein subunit alpha 13
10673		TNF superfamily member 13b
10675		chondroitin sulfate proteoglycan 5
10677		advillin
10678		UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2
1068		centrin 1
10681		G protein subunit beta 5
10682		EBP cholestenol delta-isomerase
10683		delta like canonical Notch ligand 3
10686		claudin 16
10687		PNMA family member 2
1069		centrin 2
10690		fucosyltransferase 9
10691		glucocorticoid modulatory element binding protein 1
10692		retinal pigment epithelium-derived rhodopsin homolog
10693		chaperonin containing TCP1 subunit 6B
10694		chaperonin containing TCP1 subunit 8
10695		canopy FGF signaling regulator 3
10699		corin, serine peptidase
107		adenylate cyclase 1
1070		centrin 3
1071		cholesteryl ester transfer protein
10712		endosomal transmembrane epsin interactor 3
10713		ubiquitin specific peptidase 39
10714		DNA polymerase delta 3, accessory subunit
10715	Failed_10715	
10716		T-box brain transcription factor 1
10717		adaptor related protein complex 4 subunit beta 1
10718	Failed_10718	
1072		cofilin 1
10720		UDP glucuronosyltransferase family 2 member B11
10721		DNA polymerase theta
10723		solute carrier family 12 member 7
10724		O-GlcNAcase
10725		nuclear factor of activated T cells 5
10726		nuclear distribution C, dynein complex regulator
10728		prostaglandin E synthase 3
1073		cofilin 2
10730	Failed_10730	
10732		transcription factor like 5
10733		polo like kinase 4
10734		STAG3 cohesin complex component
10735		STAG2 cohesin complex component
10736		SIX homeobox 2
10738		ret finger protein like 3
10739		ret finger protein like 2
10741		RB binding protein 9, serine hydrolase
10742		retinoic acid induced 2
10743		retinoic acid induced 1
10744		pituitary tumor-transforming 2
10745		putative homeodomain transcription factor 1
10746		mitogen-activated protein kinase kinase kinase 2
10747		MBL associated serine protease 2
10749		kinesin family member 1C
1075		cathepsin C
10750		GRB2 related adaptor protein
10752	Failed_10752	
10753		calpain 9
10755		GIPC PDZ domain containing family member 1
10758		TRAF3 interacting protein 2
10761		placenta enriched 1
10762		nucleoporin 50
10763	Failed_10763	
10765		lysine demethylase 5B
10766		transducer of ERBB2, 2
10767		HBS1 like translational GTPase
10768		adenosylhomocysteinase like 1
10769		polo like kinase 2
10771		zinc finger MYND-type containing 11
10772		serine and arginine rich splicing factor 10
10773	Failed_10773	
10775		POP4 homolog, ribonuclease P/MRP subunit
10776		cAMP regulated phosphoprotein 19
10777		cAMP regulated phosphoprotein 21
10780		zinc finger protein 234
10781		zinc finger protein 266
10782	Failed_10782	
10783		NIMA related kinase 6
