Name	Accession
rno-miR-34c-3p	MIMAT0004723
hsa-miR-330-5p	MIMAT0049693
hsa-miR-944	MIMAT0004987
hsa-miR-199a-3p	MIMAT0000232
mmu-miR-377-3p	MIMAT0000741
mmu-miR-3058-5p	MIMAT0014814
mmu-miR-101b-3p	MIMAT0000616
mmu-miR-193b-5p	MIMAT0049662
mmu-miR-3103-3p	MIMAT0014938
mmu-miR-222-3p	MIMAT0000670
mmu-let-7e-5p	MIMAT0036620
mmu-miR-130b-5p	MIMAT0049550
hsa-miR-424-5p	MIMAT0036495
mmu-miR-17-5p	MIMAT0044301
rno-miR-16-3p	MIMAT0017094
mmu-miR-483-5p	MIMAT0047909
mmu-miR-299a-3p	MIMAT0004577
mmu-miR-146a-5p	MIMAT0036567
mmu-miR-499-5p	MIMAT0048490
mmu-miR-27a-3p	MIMAT0000537
rno-miR-34a-3p	MIMAT0017106
rno-miR-490-3p	MIMAT0012823
mmu-miR-30d-5p	MIMAT0049617
mmu-miR-211-5p	MIMAT0049148
mmu-miR-21a-3p	MIMAT0004628
mmu-miR-31-5p	MIMAT0046782
mmu-miR-1968-5p	MIMAT0017350
hsa-miR-130b-3p	MIMAT0000691
hsa-miR-1976	MIMAT0009451
hsa-miR-520a-3p	MIMAT0002834
hsa-miR-24-1-5p	MIMAT0000080
hsa-miR-22-5p	MIMAT0049697
hsa-miR-1291	MIMAT0005881
hsa-miR-873-5p	MIMAT0049330
hsa-miR-598-3p	MIMAT0003266
rno-miR-1-3p	MIMAT0003125
hsa-miR-590-3p	MIMAT0004801
rno-miR-214-5p	MIMAT0049694
hsa-miR-30d-5p	MIMAT0049617
hsa-miR-5088-5p	MIMAT0027041
hsa-miR-499a-3p	MIMAT0004772
hsa-miR-5010-5p	MIMAT0021044
rno-miR-19a-3p	MIMAT0000789
mmu-miR-98-5p	MIMAT0036570
hsa-let-7b	MI0000063
rno-miR-324-5p	MIMAT0036596
rno-miR-212-5p	MIMAT0037838
hsa-miR-124-5p	MIMAT0048748
rno-miR-214-3p	MIMAT0000885
hsa-miR-3186-5p	MIMAT0015068
rno-miR-26a-3p	MIMAT0017100
hsa-miR-208a-5p	MIMAT0048330
hsa-miR-342-3p	MIMAT0000753
hsa-miR-556-5p	MIMAT0039610
hsa-miR-499b-5p	MIMAT0039581
hsa-miR-23b-5p	MIMAT0049625
hsa-miR-134-3p	MIMAT0026481
hsa-miR-33a-5p	MIMAT0036468
hsa-miR-1915-3p	MIMAT0007892
hsa-miR-663b	MIMAT0005867
hsa-miR-208a-3p	MIMAT0000241
rno-miR-431	MIMAT0001626
hsa-miR-615-3p	MIMAT0003283
rno-let-7e	MI0000832
hsa-miR-1247-3p	MIMAT0022721
hsa-miR-1227-3p	MIMAT0005580
hsa-miR-431-5p	MIMAT0047250
hsa-miR-139-5p	MIMAT0036540
rno-miR-363-3p	MIMAT0003210
hsa-miR-3135a	MIMAT0015001
hsa-miR-3195	MIMAT0015079
hsa-miR-1227-5p	MIMAT0016163
hsa-miR-149-5p	MIMAT0049706
rno-miR-346	MIMAT0000596
hsa-miR-208b-5p	MIMAT0048332
hsa-miR-127-5p	MIMAT0049678
rno-miR-147	MIMAT0005297
hsa-miR-134-5p	MIMAT0048226
hsa-miR-6741-5p	MIMAT0027384
hsa-miR-509-5p	MIMAT0039674
hsa-miR-100-5p	MIMAT0036554
hsa-miR-218-5p	MIMAT0036514
mmu-miR-200a-3p	MIMAT0000519
mmu-miR-150-5p	MIMAT0044310
hsa-miR-139-3p	MIMAT0004552
hsa-miR-92a-1-5p	MIMAT0000092
hsa-miR-26b-3p	MIMAT0004500
hsa-miR-33a-3p	MIMAT0004506
hsa-miR-4454	MIMAT0018976
hsa-miR-4634	MIMAT0019691
hsa-miR-32-5p	MIMAT0036485
hsa-miR-99a-3p	MIMAT0004511
hsa-miR-646	MIMAT0003316
hsa-miR-767-5p	MIMAT0039488
mmu-miR-96-3p	MIMAT0017021
rno-miR-125b-5p	MIMAT0044093
hsa-miR-150-5p	MIMAT0044310
hsa-miR-328-3p	MIMAT0000752
mmu-miR-15a-5p	MIMAT0044267
hsa-miR-328-5p	MIMAT0049204
hsa-miR-761	MIMAT0010364
hsa-miR-519e-3p	MIMAT0002829
hsa-miR-4507	MIMAT0019044
hsa-miR-4486	MIMAT0019020
rno-miR-23a-3p	MIMAT0000792
hsa-miR-361-3p	MIMAT0004682
hsa-miR-492	MIMAT0002812
hsa-miR-3127-3p	MIMAT0019201
rno-miR-223-3p	MIMAT0000892
hsa-miR-106b-5p	MIMAT0037722
rno-miR-495	MIMAT0005320
hsa-miR-4508	MIMAT0019045
hsa-miR-30c-5p	MIMAT0036585
hsa-miR-3615	MIMAT0017994
rno-miR-764-3p	MIMAT0017370
rno-miR-675-3p	MIMAT0017363
hsa-miR-148b-3p	MIMAT0000759
rno-miR-499-3p	MIMAT0017227
hsa-miR-1228-5p	MIMAT0024229
hsa-miR-380-3p	MIMAT0000735
rno-miR-15b-3p	MIMAT0017093
hsa-miR-939-5p	MIMAT0016139
hsa-miR-509-3-5p	MIMAT0002881
hsa-miR-500b-5p	MIMAT0047941
hsa-miR-1180-3p	MIMAT0005825
hsa-miR-4525	MIMAT0019064
mmu-miR-139-3p	MIMAT0004662
mmu-miR-721	MIMAT0003515
rno-miR-339-3p	MIMAT0004648
rno-miR-101a-3p	MIMAT0000823
rno-let-7f-5p	MIMAT0036527
rno-miR-122-3p	MIMAT0017116
mmu-miR-216a-3p	MIMAT0017054
rno-miR-106b-3p	MIMAT0004727
rno-miR-30e-5p	MIMAT0003799
mmu-miR-216b-3p	MIMAT0017233
rno-miR-30a-5p	MIMAT0036562
rno-miR-330-5p	MIMAT0049693
rno-miR-21-5p	MIMAT0044033
rno-miR-429	MIMAT0001538
rno-miR-216a-3p	MIMAT0017160
rno-miR-196c-5p	MIMAT0038995
rno-miR-146b-3p	MIMAT0017334
rno-miR-92b-3p	MIMAT0005340
rno-miR-217-3p	MIMAT0017161
rno-miR-872-3p	MIMAT0005283
rno-miR-194-5p	MIMAT0000869
rno-miR-26a-5p	MIMAT0044164
rno-miR-764-5p	MIMAT0013244
rno-miR-100-5p	MIMAT0036554
rno-miR-10a-5p	MIMAT0044088
rno-miR-501-3p	MIMAT0017198
rno-miR-23b-3p	MIMAT0000793
hsa-miR-551b-5p	MIMAT0048530
rno-miR-7a-5p	MIMAT0046778
rno-miR-99b-5p	MIMAT0036582
rno-let-7e-5p	MIMAT0036620
rno-miR-140-3p	MIMAT0000574
rno-miR-99b-3p	MIMAT0004725
rno-miR-27a-5p	MIMAT0049711
hsa-miR-192-5p	MIMAT0044277
hsa-miR-130b-5p	MIMAT0049550
hsa-miR-27a-5p	MIMAT0049711
rno-miR-375-3p	MIMAT0005307
hsa-miR-548d-5p	MIMAT0039579
rno-let-7i-5p	MIMAT0036604
hsa-miR-339-3p	MIMAT0004702
rno-miR-152-3p	MIMAT0000854
rno-miR-30d-5p	MIMAT0049617
rno-let-7b-3p	MIMAT0004705
rno-let-7c-2-3p	MIMAT0017088
hsa-miR-582-5p	MIMAT0036279
hsa-miR-181a-2-3p	MIMAT0004558
hsa-miR-1185-5p	MIMAT0048026
hsa-miR-137-3p	MIMAT0000429
